UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Sina Yeganeh,@Sin4Yeganeh,2023-04-03T10:14:14.000Z,"Sina Yeganeh
@Sin4Yeganeh
Â·
Apr 3","In March, I earned a total of 23k from 
@Hacker0x01
 .This post isn't just about showing my financial income, I'm here to show you all the opportunities that exist for you and me.

You will reap the rewards if you take this advice.
Read: 
#TogetherWeHitHarder  #bugbountytips",,17,58,485,['https://pbs.twimg.com/media/Fsx-QYjWwAI89Li?format=jpg&name=small'],https://twitter.com/Sin4Yeganeh/status/1642832873857097729
azhari,@mhmmadazhari,2023-04-03T09:02:30.000Z,"azhari
@mhmmadazhari
Â·
Apr 3","Yay, I was awarded a $2,500 of total bounties on 
@Hacker0x01
! https://hackerone.com/mhmmdazhari #TogetherWeHitHarder",,12,4,205,['https://pbs.twimg.com/media/FsxzX94WwAEXvrZ?format=jpg&name=small'],https://twitter.com/mhmmadazhari/status/1642814823758188544
Ahmed Mohamed,@AhmedElmalky00,2023-04-03T17:06:45.000Z,"Ahmed Mohamed
@AhmedElmalky00
Â·
Apr 3","Yay, I was awarded bounty on 
@Hacker0x01
! https://hackerone.com/ahmedelmalky #TogetherWeHitHarder 
#sqlinjection",,1,,42,['https://pbs.twimg.com/media/FsziNcfX0AIy5mD?format=jpg&name=small'],https://twitter.com/AhmedElmalky00/status/1642936688837120006
Dustydude42079.eth | YMZfam,@dustydude42079,2023-04-03T08:39:56.000Z,"Dustydude42079.eth | YMZfam
@dustydude42079
Â·
Apr 3","Replying to 
@SneezyBoysClub",ðŸ™‰ ðŸ™‰ ðŸ™‰ âœ” âœ” âœ” ðŸ¤˜ ðŸ¤˜ ðŸ¤˜,1,,2,['https://pbs.twimg.com/media/FsxuNavWcAAL_xf?format=jpg&name=small'],https://twitter.com/dustydude42079/status/1642809142766100482
Adarsh Shetty (albatraoz),@adarshshettyy,2023-04-04T15:12:29.000Z,"Adarsh Shetty (albatraoz)
@adarshshettyy
Â·
Apr 4","Yay, I was awarded a $35,000 bounty on 
@Hacker0x01
! 
With this I've crossed $100,000 in all time rewards from Hackerone.
 https://hackerone.com/albatraoz #TogetherWeHitHarder #infosec #bugbounty #hacking #websec #hackerone",,45,39,787,['https://pbs.twimg.com/media/Fs4RphYX0AEuW_u?format=jpg&name=small'],https://twitter.com/adarshshettyy/status/1643270321930375170
Fat,@fattselimi,2023-04-04T07:15:06.000Z,"Fat
@fattselimi
Â·
Apr 4","Another one today this was for a Blind XSS and its a 7 months old report ^_^ 

#bugbounty #ethicalhacking #togetherwehitharder",,4,3,62,['https://pbs.twimg.com/media/Fs2kYFKWAAIGHt1?format=jpg&name=small'],https://twitter.com/fattselimi/status/1643150180974223361
Fat,@fattselimi,2023-04-04T05:56:06.000Z,"Fat
@fattselimi
Â·
Apr 4","Thank you 
@BMWGroup
  #togetherwehitharder",ðŸ«£,5,,69,['https://pbs.twimg.com/media/Fs2STFqXoAEiZ6M?format=jpg&name=small'],https://twitter.com/fattselimi/status/1643130300929540096
