UserName,Toxic,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
@Shad_khalif,Tawera: Ama mimi ndio mjinga?🤔,2023-02-09,"Shad of many Books📚📚, Master of Analysts. I do Art and Craft on Excel #TeamArsenalWOMEN #ScrabbleKenya",embedded,,12,43,23,https://nitter.it/pic/enc/cGJzLnR3aW1nLmNvbS9wcm9maWxlX2ltYWdlcy8xNDQwOTQ5NzI2NDA5NTQ3Nzc3L3lvTF9fREplX2JpZ2dlci5qcGc=,https://nitter.it/Shad_khalif
@MpumbavuMjinga,Mjinga Mpumbavu,2023-02-09,nmechafukwa maisha hayaendi(muhuni kiasi),embedded,,12,43,23,https://nitter.it/pic/enc/cGJzLnR3aW1nLmNvbS9wcm9maWxlX2ltYWdlcy8xMjcxOTgwMjc1MjI5MjIwODY0L1VNZDZOWTA4X2JpZ2dlci5qcGc=,https://nitter.it/MpumbavuMjinga
@mjinga2001,TUME HURU YA UCHUNGUZI WAPWA REPUBLIC 🇹🇿,2023-02-09,VITU VINAKAA VYENYEWEE (V.V.V).tajiri wa kihaya namiliki ndege mbili za aridhini na magari matatu ya angani ...nina phd ya physics 😂  living fast living good ✊,embedded,,12,43,23,https://nitter.it/pic/enc/cGJzLnR3aW1nLmNvbS9wcm9maWxlX2ltYWdlcy8xNTUxOTg0NDkzMTYyMTE5MTcwL0hyb3U3b0k5X2JpZ2dlci5qcGc=,https://nitter.it/mjinga2001
@kumamako5,くままこさん,2023-02-09,にゃんぱすー、アニメ・ゲーム・ライトノベル関連ハマってます。ゲーム機は現行機種揃ってます。剥離性ミリオンアーサー、アイドルマスタースターライトステージやってます。,embedded,,12,43,23,https://nitter.it/pic/enc/cGJzLnR3aW1nLmNvbS9wcm9maWxlX2ltYWdlcy85MzIwNDk0MDE4NjE2NTI0ODAvTHRNZU9zUDNfYmlnZ2VyLmpwZw==,https://nitter.it/kumamako5
@001_mjinga,Stupid fool,2023-02-09,Useless like tobacco,embedded,,12,43,23,https://nitter.it/pic/enc/cGJzLnR3aW1nLmNvbS9wcm9maWxlX2ltYWdlcy8xNTIzMTU3MDkzOTY0MDAxMjgwL0tFWi15aC1rX2JpZ2dlci5qcGc=,https://nitter.it/001_mjinga
@FiFiMkundu,Fifi🇧🇼,2023-02-09,Live Stress free,embedded,,12,43,23,https://nitter.it/pic/enc/cGJzLnR3aW1nLmNvbS9wcm9maWxlX2ltYWdlcy8xNTAzNzU4NzQ0ODk0Nzc5MzkyL3BnMnZYcXA2X2JpZ2dlci5qcGc=,https://nitter.it/FiFiMkundu
@IreneFr91871973,,2023-02-09,@IreneFr91871973's account is temporarily unavailable because it violates the Twitter Media Policy. support.twitter.com/articles….,embedded,,12,43,23,https://nitter.it/pic/enc/,https://nitter.it/IreneFr91871973
@MKundu19,angel mou :),2023-02-09,die heart fan of parth samthaan and ky2 show..,embedded,,12,43,23,https://nitter.it/pic/enc/cGJzLnR3aW1nLmNvbS9wcm9maWxlX2ltYWdlcy82MTExMTM3MzE0ODU4NjM5MzYvM255NkpYUndfYmlnZ2VyLmpwZw==,https://nitter.it/MKundu19
@samkelwa_msenge,samkelwa_msenge,2023-02-09,,embedded,,12,43,23,https://nitter.it/pic/enc/cGJzLnR3aW1nLmNvbS9wcm9maWxlX2ltYWdlcy8xNDk1NzA3MDU1Njc1NjQ1OTU2L0pleUhCaEZLX2JpZ2dlci5qcGc=,https://nitter.it/samkelwa_msenge
@ErinaMukundu,erina.mkundu🇿🇼🇳🇦,2023-02-09,I love my family 💗💕,embedded,,12,43,23,https://nitter.it/pic/enc/cGJzLnR3aW1nLmNvbS9wcm9maWxlX2ltYWdlcy8xMzEzNzQwMjEzMTM1NTE1NjUwL3BaT0hkV1IwX2JpZ2dlci5qcGc=,https://nitter.it/ErinaMukundu
@Mjingampumbavu,Mjinga Mpumbavu Mjin,2023-02-09,,embedded,,12,43,23,https://nitter.it/pic/enc/YWJzLnR3aW1nLmNvbS9zdGlja3kvZGVmYXVsdF9wcm9maWxlX2ltYWdlcy9kZWZhdWx0X3Byb2ZpbGVfYmlnZ2VyLnBuZw==,https://nitter.it/Mjingampumbavu
@MweusiMkundu,,2023-02-09,@MweusiMkundu's account is temporarily unavailable because it violates the Twitter Media Policy. support.twitter.com/articles….,embedded,,12,43,23,https://nitter.it/pic/enc/,https://nitter.it/MweusiMkundu
@FNMburu1,Soko Mjinga Owl,2023-02-09,,embedded,,12,43,23,https://nitter.it/pic/enc/cGJzLnR3aW1nLmNvbS9wcm9maWxlX2ltYWdlcy8xMDk3NTA3MDYyMjMyMzcxMjAwL3FkMU9tRlhCX2JpZ2dlci5qcGc=,https://nitter.it/FNMburu1
@MSengeWVUNews,Macy Senge,2023-02-09,I am a producer for WVU News and the views expressed here are mine alone and do not necessarily reflect those of West Virginia University or WVU News.,embedded,,12,43,23,https://nitter.it/pic/enc/cGJzLnR3aW1nLmNvbS9wcm9maWxlX2ltYWdlcy85NTYzMjkzNTYwMzIzODkxMjAvd0NCRUw0S2dfYmlnZ2VyLmpwZw==,https://nitter.it/MSengeWVUNews
@lundimsenge,Lundi Msenge,2023-02-09,Im 19 and I love my rUgBy and CrIcKet im a slow walker but I never walk backwards God1ste🙏,embedded,,12,43,23,https://nitter.it/pic/enc/cGJzLnR3aW1nLmNvbS9wcm9maWxlX2ltYWdlcy85MDI1MTEzMTg0NDc2MTE5MDUvcGsxMGNFS01fYmlnZ2VyLmpwZw==,https://nitter.it/lundimsenge
@Pumlani13,Pumlani Msenge,2023-02-09,,embedded,,12,43,23,https://nitter.it/pic/enc/cGJzLnR3aW1nLmNvbS9wcm9maWxlX2ltYWdlcy82MTQwNTg5MDUzMjEyMTM5NTIvZnA1RThuY0lfYmlnZ2VyLmpwZw==,https://nitter.it/Pumlani13
@Vusi_Msenge,Vusi Msenge,2023-02-09,,embedded,,12,43,23,https://nitter.it/pic/enc/cGJzLnR3aW1nLmNvbS9wcm9maWxlX2ltYWdlcy8xNDUyMzYwMDU0MTE2NjAxODU2L0loSk5pZjE2X2JpZ2dlci5qcGc=,https://nitter.it/Vusi_Msenge
@mjinga,Yupi Mjinga,2023-02-09,,embedded,,12,43,23,https://nitter.it/pic/enc/YWJzLnR3aW1nLmNvbS9zdGlja3kvZGVmYXVsdF9wcm9maWxlX2ltYWdlcy9kZWZhdWx0X3Byb2ZpbGVfYmlnZ2VyLnBuZw==,https://nitter.it/mjinga
@KeMjinga,KOT SHERIFF™️,2023-02-09,"sarcastic by nature , Historian, optimistic, thinker, opportunist and enthusiastic.
CHELSEA💙.",embedded,,12,43,23,https://nitter.it/pic/enc/cGJzLnR3aW1nLmNvbS9wcm9maWxlX2ltYWdlcy8xNTc4Nzc3MDE1Nzc1MzcxMjY0LzdnX01uMGpWX2JpZ2dlci5qcGc=,https://nitter.it/KeMjinga
@SengeMsenge,Msenge Senge,2023-02-09,Man of all seasons,embedded,,12,43,23,https://nitter.it/pic/enc/cGJzLnR3aW1nLmNvbS9wcm9maWxlX2ltYWdlcy8xNDg2NjExMDY2ODM4ODIyOTE1L0F1akx4U1BzX2JpZ2dlci5qcGc=,https://nitter.it/SengeMsenge
